time, Class, Hourly Wage, t1, t2, t3, t4, Remark, check
May 1, B173, 420, 1730, -1, -1, 2200, 勞動節, -
May 2, B173, 210, 1730, -1, -1, 2200, , -
May 3, C, 210, 1100, 1430, 1700, 2200, , -
May 4, C, 210, 1100, 1500, 1700, 2130, , -
May 5, ., 210, -1, -1, -1, -1, , -
May 6, 休, 210, -1, -1, -1, -1, , -
May 7, B173, 210, 1730, -1, -1, 2200, 與卓星豪換班(May 23), - 
May 8, B173, 210, 1730, -1, -1, 2200, , -
May 9, B173, 210, 1730, -1, -1, 2230, , -
May 10, C, 210, 1100, 1530, 1700, 2230, , -
May 11, B17, 210, 1630, -1, -1, 2130, , -
May 12, B173, 210, 1730, -1, -1, 2200, , -
May 13, 休, 210, -1, -1, -1, -1, , -
May 14, 休, 210, -1, -1, -1, -1, , -
May 15, B173, 210, 1730, -1, -1, 2200, , -
May 16, B173, 210, 1230, 1530, 1730, 2230, , -
May 17, C, 210, 1200, 1630, 1800, 2200, 
May 18, C, 210, 1200, 1630, 1800, 2130, 
May 19, B173, 210, 1730, -1, -1, 2200, 
May 20, 休, 210, -1, -1, -1, -1, 
May 21, 休, 210, -1, -1, -1, -1, 
May 22, B173, 210, 1730, -1, -1, 2200, 
May 23, 休, 210, -1, -1, -1, -1, 與卓星豪換班(May 7) 
May 24, C, 210, 1200, 1630, 1800, 2200, 
May 25, C, 210, 1200, 1630, 1800, 2130, 
May 26, ., 210, -1, -1, -1, -1, 
May 27, 休, 210, -1, -1, -1, -1, 
May 28, 休, 210, -1, -1, -1, -1, 
May 29, B173, 210, 1730, -1, -1, 2200, 
May 30, C, 210, 1200, 1630, 1800, 2200, 端午節補假
May 31, C, 420, 1200, 1630, 1800, 2200, 端午節
